id,group,latency_ms
1,frodo640aes,39.95
2,frodo640aes,24.18
3,frodo640aes,23.02
4,frodo640aes,23.11
5,frodo640aes,28.34
6,frodo640aes,20.69
7,frodo640aes,17.67
8,frodo640aes,24.85
9,frodo640aes,26.57
10,frodo640aes,34.05
11,frodo640aes,15.98
12,frodo640aes,22.34
13,frodo640aes,26.84
14,frodo640aes,19.06
15,frodo640aes,27.83
16,frodo640aes,23.68
17,frodo640aes,30.43
18,frodo640aes,37.28
19,frodo640aes,22.38
20,frodo640aes,25.35
21,frodo640aes,25.83
22,frodo640aes,31.09
23,frodo640aes,23.82
24,frodo640aes,23.81
25,frodo640aes,41.51
26,frodo640aes,28.32
27,frodo640aes,40.77
28,frodo640aes,36.93
29,frodo640aes,35.32
30,frodo640aes,31.26
31,frodo640aes,23.31
32,frodo640aes,26.51
33,frodo640aes,28.40
34,frodo640aes,20.07
35,frodo640aes,28.14
36,frodo640aes,29.04
37,frodo640aes,25.03
38,frodo640aes,39.36
39,frodo640aes,32.61
40,frodo640aes,36.50
41,frodo640aes,31.68
42,frodo640aes,23.66
43,frodo640aes,24.59
44,frodo640aes,40.24
45,frodo640aes,31.62
46,frodo640aes,32.87
47,frodo640aes,22.29
48,frodo640aes,35.48
49,frodo640aes,26.22
50,frodo640aes,26.74
51,frodo640aes,40.38
52,frodo640aes,23.59
53,frodo640aes,19.15
54,frodo640aes,30.74
55,frodo640aes,42.22
56,frodo640aes,39.74
57,frodo640aes,29.08
58,frodo640aes,20.03
59,frodo640aes,26.82
60,frodo640aes,22.16
61,frodo640aes,32.32
62,frodo640aes,28.61
63,frodo640aes,33.45
64,frodo640aes,17.13
65,frodo640aes,21.85
66,frodo640aes,23.14
67,frodo640aes,39.68
68,frodo640aes,22.44
69,frodo640aes,26.69
70,frodo640aes,28.34
71,frodo640aes,30.11
72,frodo640aes,26.68
73,frodo640aes,24.36
74,frodo640aes,65.52
75,frodo640aes,22.71
76,frodo640aes,31.20
77,frodo640aes,18.40
78,frodo640aes,23.99
79,frodo640aes,31.20
80,frodo640aes,36.88
81,frodo640aes,24.49
82,frodo640aes,33.56
83,frodo640aes,30.94
84,frodo640aes,30.25
85,frodo640aes,24.41
86,frodo640aes,31.74
87,frodo640aes,25.23
88,frodo640aes,30.18
89,frodo640aes,27.27
90,frodo640aes,18.90
91,frodo640aes,28.21
92,frodo640aes,22.64
93,frodo640aes,25.68
94,frodo640aes,37.09
95,frodo640aes,26.36
96,frodo640aes,23.34
97,frodo640aes,36.64
98,frodo640aes,34.15
99,frodo640aes,23.81
100,frodo640aes,26.00
101,frodo640aes,32.35
102,frodo640aes,28.37
103,frodo640aes,28.85
104,frodo640aes,22.01
105,frodo640aes,24.37
106,frodo640aes,30.39
107,frodo640aes,32.50
108,frodo640aes,25.58
109,frodo640aes,32.03
110,frodo640aes,21.97
111,frodo640aes,27.34
112,frodo640aes,32.01
113,frodo640aes,27.54
114,frodo640aes,31.79
115,frodo640aes,23.26
116,frodo640aes,13.56
117,frodo640aes,32.39
118,frodo640aes,37.12
119,frodo640aes,34.30
120,frodo640aes,27.20
121,frodo640aes,21.84
122,frodo640aes,27.08
123,frodo640aes,29.18
124,frodo640aes,38.88
125,frodo640aes,22.51
126,frodo640aes,20.51
127,frodo640aes,23.73
128,frodo640aes,22.92
129,frodo640aes,22.59
130,frodo640aes,32.67
131,frodo640aes,24.88
132,frodo640aes,26.54
133,frodo640aes,27.78
134,frodo640aes,49.13
135,frodo640aes,22.57
136,frodo640aes,33.80
137,frodo640aes,21.93
138,frodo640aes,28.11
139,frodo640aes,27.92
140,frodo640aes,22.08
141,frodo640aes,34.56
142,frodo640aes,29.06
143,frodo640aes,24.58
144,frodo640aes,28.55
145,frodo640aes,30.96
146,frodo640aes,46.53
147,frodo640aes,32.49
148,frodo640aes,32.37
149,frodo640aes,28.01
150,frodo640aes,23.05
151,frodo640aes,26.26
152,frodo640aes,28.96
153,frodo640aes,46.82
154,frodo640aes,28.42
155,frodo640aes,27.52
156,frodo640aes,23.17
157,frodo640aes,32.57
158,frodo640aes,31.93
159,frodo640aes,23.54
160,frodo640aes,31.23
161,frodo640aes,21.28
162,frodo640aes,27.57
163,frodo640aes,31.83
164,frodo640aes,26.09
165,frodo640aes,24.84
166,frodo640aes,38.40
167,frodo640aes,21.66
168,frodo640aes,20.71
169,frodo640aes,26.93
170,frodo640aes,28.91
171,frodo640aes,43.51
172,frodo640aes,31.39
173,frodo640aes,23.64
174,frodo640aes,22.71
175,frodo640aes,27.34
176,frodo640aes,25.21
177,frodo640aes,28.93
178,frodo640aes,29.25
179,frodo640aes,26.41
180,frodo640aes,33.42
181,frodo640aes,15.16
182,frodo640aes,38.72
183,frodo640aes,18.31
184,frodo640aes,59.25
185,frodo640aes,20.51
186,frodo640aes,26.86
187,frodo640aes,26.76
188,frodo640aes,31.75
189,frodo640aes,32.31
190,frodo640aes,28.51
191,frodo640aes,32.45
192,frodo640aes,19.40
193,frodo640aes,46.86
194,frodo640aes,33.01
195,frodo640aes,39.42
196,frodo640aes,28.55
197,frodo640aes,33.82
198,frodo640aes,35.49
199,frodo640aes,31.58
200,frodo640aes,18.16
201,frodo640aes,19.78
202,frodo640aes,23.53
203,frodo640aes,17.69
204,frodo640aes,35.76
205,frodo640aes,26.63
206,frodo640aes,24.14
207,frodo640aes,20.90
208,frodo640aes,34.27
209,frodo640aes,24.35
210,frodo640aes,26.81
211,frodo640aes,26.67
212,frodo640aes,43.75
213,frodo640aes,27.54
214,frodo640aes,26.55
215,frodo640aes,30.09
216,frodo640aes,34.94
217,frodo640aes,21.86
218,frodo640aes,21.11
219,frodo640aes,32.12
220,frodo640aes,35.52
221,frodo640aes,36.71
222,frodo640aes,25.55
223,frodo640aes,31.45
224,frodo640aes,24.18
225,frodo640aes,28.46
226,frodo640aes,31.96
227,frodo640aes,31.55
228,frodo640aes,23.21
229,frodo640aes,35.12
230,frodo640aes,23.43
231,frodo640aes,22.80
232,frodo640aes,30.49
233,frodo640aes,25.01
234,frodo640aes,23.69
235,frodo640aes,23.51
236,frodo640aes,31.93
237,frodo640aes,23.47
238,frodo640aes,28.11
239,frodo640aes,39.47
240,frodo640aes,32.61
241,frodo640aes,25.93
242,frodo640aes,26.24
243,frodo640aes,21.25
244,frodo640aes,25.89
245,frodo640aes,28.88
246,frodo640aes,24.29
247,frodo640aes,23.73
248,frodo640aes,40.25
249,frodo640aes,26.63
250,frodo640aes,28.12
251,frodo640aes,34.58
252,frodo640aes,33.34
253,frodo640aes,26.78
254,frodo640aes,31.43
255,frodo640aes,25.27
256,frodo640aes,29.08
257,frodo640aes,26.26
258,frodo640aes,20.62
259,frodo640aes,24.56
260,frodo640aes,31.46
261,frodo640aes,25.10
262,frodo640aes,23.06
263,frodo640aes,22.95
264,frodo640aes,34.98
265,frodo640aes,41.07
266,frodo640aes,28.76
267,frodo640aes,37.08
268,frodo640aes,24.34
269,frodo640aes,26.18
270,frodo640aes,33.26
271,frodo640aes,24.84
272,frodo640aes,32.07
273,frodo640aes,22.95
274,frodo640aes,32.04
275,frodo640aes,26.74
276,frodo640aes,23.48
277,frodo640aes,30.03
278,frodo640aes,23.00
279,frodo640aes,31.26
280,frodo640aes,23.68
281,frodo640aes,30.75
282,frodo640aes,25.23
283,frodo640aes,25.86
284,frodo640aes,48.86
285,frodo640aes,19.88
286,frodo640aes,37.56
287,frodo640aes,21.32
288,frodo640aes,43.68
289,frodo640aes,29.73
290,frodo640aes,22.03
291,frodo640aes,33.18
292,frodo640aes,34.08
293,frodo640aes,41.72
294,frodo640aes,25.32
295,frodo640aes,32.46
296,frodo640aes,28.97
297,frodo640aes,27.73
298,frodo640aes,35.42
299,frodo640aes,34.45
300,frodo640aes,29.29
301,frodo640aes,19.69
302,frodo640aes,58.40
303,frodo640aes,32.07
304,frodo640aes,28.99
305,frodo640aes,44.44
306,frodo640aes,23.59
307,frodo640aes,39.20
308,frodo640aes,46.73
309,frodo640aes,30.81
310,frodo640aes,39.26
311,frodo640aes,34.76
312,frodo640aes,34.68
313,frodo640aes,43.30
314,frodo640aes,49.26
315,frodo640aes,34.44
316,frodo640aes,18.03
317,frodo640aes,33.70
318,frodo640aes,42.02
319,frodo640aes,24.55
320,frodo640aes,36.93
321,frodo640aes,33.60
322,frodo640aes,28.95
323,frodo640aes,25.49
324,frodo640aes,30.81
325,frodo640aes,45.94
326,frodo640aes,73.26
327,frodo640aes,46.44
328,frodo640aes,36.40
329,frodo640aes,42.67
330,frodo640aes,35.96
331,frodo640aes,20.39
332,frodo640aes,21.10
333,frodo640aes,39.37
334,frodo640aes,32.36
335,frodo640aes,37.07
336,frodo640aes,20.87
337,frodo640aes,33.00
338,frodo640aes,17.84
339,frodo640aes,39.68
340,frodo640aes,16.52
341,frodo640aes,31.95
342,frodo640aes,33.84
343,frodo640aes,35.57
344,frodo640aes,23.45
345,frodo640aes,46.14
346,frodo640aes,28.15
347,frodo640aes,24.61
348,frodo640aes,33.40
349,frodo640aes,27.04
350,frodo640aes,36.26
351,frodo640aes,27.05
352,frodo640aes,27.03
353,frodo640aes,33.69
354,frodo640aes,41.34
355,frodo640aes,23.73
356,frodo640aes,26.60
357,frodo640aes,40.12
358,frodo640aes,24.40
359,frodo640aes,34.42
360,frodo640aes,25.34
361,frodo640aes,26.35
362,frodo640aes,31.92
363,frodo640aes,12.96
364,frodo640aes,18.55
365,frodo640aes,22.49
366,frodo640aes,31.59
367,frodo640aes,27.88
368,frodo640aes,34.44
369,frodo640aes,37.53
370,frodo640aes,28.25
371,frodo640aes,23.70
372,frodo640aes,34.03
373,frodo640aes,43.44
374,frodo640aes,25.93
375,frodo640aes,48.49
376,frodo640aes,24.14
377,frodo640aes,22.74
378,frodo640aes,18.06
379,frodo640aes,18.33
380,frodo640aes,26.43
381,frodo640aes,34.87
382,frodo640aes,23.79
383,frodo640aes,29.58
384,frodo640aes,19.37
385,frodo640aes,23.82
386,frodo640aes,24.80
387,frodo640aes,40.22
388,frodo640aes,29.09
389,frodo640aes,19.94
390,frodo640aes,34.98
391,frodo640aes,24.42
392,frodo640aes,22.47
393,frodo640aes,25.44
394,frodo640aes,30.67
395,frodo640aes,26.42
396,frodo640aes,26.48
397,frodo640aes,38.87
398,frodo640aes,45.93
399,frodo640aes,48.85
400,frodo640aes,24.90
401,frodo640aes,18.66
402,frodo640aes,35.25
403,frodo640aes,24.56
404,frodo640aes,26.90
405,frodo640aes,35.45
406,frodo640aes,20.04
407,frodo640aes,51.84
408,frodo640aes,15.28
409,frodo640aes,61.62
410,frodo640aes,19.16
411,frodo640aes,20.35
412,frodo640aes,37.25
413,frodo640aes,20.88
414,frodo640aes,30.02
415,frodo640aes,26.28
416,frodo640aes,20.18
417,frodo640aes,34.11
418,frodo640aes,19.92
419,frodo640aes,25.31
420,frodo640aes,28.59
421,frodo640aes,17.71
422,frodo640aes,39.93
423,frodo640aes,32.94
424,frodo640aes,23.65
425,frodo640aes,35.42
426,frodo640aes,36.03
427,frodo640aes,32.18
428,frodo640aes,35.60
429,frodo640aes,32.71
430,frodo640aes,25.70
431,frodo640aes,33.01
432,frodo640aes,17.00
433,frodo640aes,20.73
434,frodo640aes,27.94
435,frodo640aes,27.88
436,frodo640aes,36.14
437,frodo640aes,32.19
438,frodo640aes,25.43
439,frodo640aes,36.52
440,frodo640aes,51.05
441,frodo640aes,24.02
442,frodo640aes,34.59
443,frodo640aes,23.92
444,frodo640aes,41.19
445,frodo640aes,34.61
446,frodo640aes,34.24
447,frodo640aes,38.49
448,frodo640aes,37.19
449,frodo640aes,23.76
450,frodo640aes,30.67
451,frodo640aes,27.17
452,frodo640aes,55.11
453,frodo640aes,26.67
454,frodo640aes,44.02
455,frodo640aes,16.37
456,frodo640aes,27.75
457,frodo640aes,21.99
458,frodo640aes,25.93
459,frodo640aes,27.83
460,frodo640aes,30.34
461,frodo640aes,31.54
462,frodo640aes,30.00
463,frodo640aes,21.85
464,frodo640aes,32.16
465,frodo640aes,25.68
466,frodo640aes,27.04
467,frodo640aes,27.08
468,frodo640aes,45.45
469,frodo640aes,32.95
470,frodo640aes,16.94
471,frodo640aes,26.34
472,frodo640aes,20.86
473,frodo640aes,21.86
474,frodo640aes,33.29
475,frodo640aes,17.33
476,frodo640aes,28.91
477,frodo640aes,28.95
478,frodo640aes,36.58
479,frodo640aes,31.14
480,frodo640aes,19.86
481,frodo640aes,33.65
482,frodo640aes,27.71
483,frodo640aes,37.93
484,frodo640aes,30.96
485,frodo640aes,34.52
486,frodo640aes,35.97
487,frodo640aes,39.07
488,frodo640aes,34.83
489,frodo640aes,26.69
490,frodo640aes,64.68
491,frodo640aes,32.76
492,frodo640aes,30.19
493,frodo640aes,36.96
494,frodo640aes,20.36
495,frodo640aes,30.57
496,frodo640aes,30.18
497,frodo640aes,22.99
498,frodo640aes,37.25
499,frodo640aes,39.27
500,frodo640aes,19.92
501,frodo640aes,37.44
502,frodo640aes,26.21
503,frodo640aes,25.63
504,frodo640aes,18.53
505,frodo640aes,32.65
506,frodo640aes,26.44
507,frodo640aes,19.52
508,frodo640aes,24.62
509,frodo640aes,20.38
510,frodo640aes,31.23
511,frodo640aes,26.58
512,frodo640aes,37.99
513,frodo640aes,45.01
514,frodo640aes,24.52
515,frodo640aes,31.44
516,frodo640aes,34.45
517,frodo640aes,32.49
518,frodo640aes,29.57
519,frodo640aes,38.25
520,frodo640aes,45.63
521,frodo640aes,24.67
522,frodo640aes,14.66
523,frodo640aes,35.03
524,frodo640aes,18.16
525,frodo640aes,28.94
526,frodo640aes,28.25
527,frodo640aes,27.03
528,frodo640aes,36.09
529,frodo640aes,26.25
530,frodo640aes,31.93
531,frodo640aes,26.27
532,frodo640aes,23.04
533,frodo640aes,31.41
534,frodo640aes,45.52
535,frodo640aes,43.09
536,frodo640aes,18.92
537,frodo640aes,19.84
538,frodo640aes,28.05
539,frodo640aes,30.09
540,frodo640aes,33.60
541,frodo640aes,29.09
542,frodo640aes,21.75
543,frodo640aes,35.27
544,frodo640aes,34.29
545,frodo640aes,32.13
546,frodo640aes,43.09
547,frodo640aes,35.08
548,frodo640aes,13.86
549,frodo640aes,23.03
550,frodo640aes,21.85
551,frodo640aes,22.93
552,frodo640aes,22.49
553,frodo640aes,27.84
554,frodo640aes,25.21
555,frodo640aes,31.37
556,frodo640aes,21.44
557,frodo640aes,38.84
558,frodo640aes,20.82
559,frodo640aes,27.76
560,frodo640aes,26.51
561,frodo640aes,31.04
562,frodo640aes,44.03
563,frodo640aes,22.38
564,frodo640aes,35.27
565,frodo640aes,50.32
566,frodo640aes,21.42
567,frodo640aes,31.53
568,frodo640aes,22.69
569,frodo640aes,34.07
570,frodo640aes,23.45
571,frodo640aes,35.96
572,frodo640aes,21.59
573,frodo640aes,35.82
574,frodo640aes,18.16
575,frodo640aes,29.06
576,frodo640aes,35.21
577,frodo640aes,33.35
578,frodo640aes,38.54
579,frodo640aes,25.62
580,frodo640aes,49.25
581,frodo640aes,29.69
582,frodo640aes,28.12
583,frodo640aes,36.80
584,frodo640aes,22.13
585,frodo640aes,28.72
586,frodo640aes,24.89
587,frodo640aes,25.87
588,frodo640aes,30.97
589,frodo640aes,40.66
590,frodo640aes,27.69
591,frodo640aes,33.70
592,frodo640aes,24.85
593,frodo640aes,25.54
594,frodo640aes,35.42
595,frodo640aes,43.51
596,frodo640aes,18.54
597,frodo640aes,28.11
598,frodo640aes,26.13
599,frodo640aes,25.24
600,frodo640aes,21.63
601,frodo640aes,35.43
602,frodo640aes,48.06
603,frodo640aes,37.60
604,frodo640aes,37.00
605,frodo640aes,29.47
606,frodo640aes,40.01
607,frodo640aes,30.21
608,frodo640aes,23.70
609,frodo640aes,29.77
610,frodo640aes,15.17
611,frodo640aes,26.32
612,frodo640aes,25.86
613,frodo640aes,18.05
614,frodo640aes,23.52
615,frodo640aes,26.56
616,frodo640aes,28.78
617,frodo640aes,31.44
618,frodo640aes,21.03
619,frodo640aes,36.88
620,frodo640aes,26.74
621,frodo640aes,21.65
622,frodo640aes,20.36
623,frodo640aes,21.00
624,frodo640aes,24.89
625,frodo640aes,33.36
626,frodo640aes,21.84
627,frodo640aes,30.32
628,frodo640aes,40.29
629,frodo640aes,35.77
630,frodo640aes,37.63
631,frodo640aes,26.17
632,frodo640aes,39.62
633,frodo640aes,23.01
634,frodo640aes,20.03
635,frodo640aes,31.67
636,frodo640aes,18.97
637,frodo640aes,27.36
638,frodo640aes,43.14
639,frodo640aes,27.86
640,frodo640aes,37.01
641,frodo640aes,38.34
642,frodo640aes,30.76
643,frodo640aes,20.30
644,frodo640aes,29.38
645,frodo640aes,36.14
646,frodo640aes,24.50
647,frodo640aes,31.41
648,frodo640aes,26.67
649,frodo640aes,29.81
650,frodo640aes,25.66
651,frodo640aes,24.68
652,frodo640aes,28.26
653,frodo640aes,54.83
654,frodo640aes,34.70
655,frodo640aes,36.81
656,frodo640aes,30.96
657,frodo640aes,20.35
658,frodo640aes,34.55
659,frodo640aes,20.61
660,frodo640aes,35.36
661,frodo640aes,31.41
662,frodo640aes,25.00
663,frodo640aes,26.85
664,frodo640aes,32.10
665,frodo640aes,33.64
666,frodo640aes,21.50
667,frodo640aes,25.88
668,frodo640aes,28.03
669,frodo640aes,35.57
670,frodo640aes,33.86
671,frodo640aes,26.31
672,frodo640aes,31.04
673,frodo640aes,25.83
674,frodo640aes,40.19
675,frodo640aes,23.99
676,frodo640aes,28.87
677,frodo640aes,37.49
678,frodo640aes,24.83
679,frodo640aes,32.85
680,frodo640aes,25.57
681,frodo640aes,26.54
682,frodo640aes,28.34
